"GeneNames","value1","value2","log2(Fold_change)","log2(Fold_change) normalized","z-score","p-value","q-value(Benjamini et al. 1995)","q-value(Storey et al. 2003)","Signature(q-value(Storey et al. 2003) < 0.01)","mu","clr","pch"
"Ice2",106,104,0.027480736422107,0.181055373979558,0.90995170383698,0.362847980584632,0.465229797702794,0.142230459299994,FALSE,6.71418008635215,"black","46"
"Acbd3",1039,1201,-0.209040496801423,-0.0554658592439719,-0.909344086426193,0.363168526146018,0.465595204934728,0.142342171917471,FALSE,10.1255001873049,"black","46"
"Mylpf",86,109,-0.341919570074828,-0.188344932517377,-0.9089855296277,0.363357764131154,0.465792216039702,0.14240240232422,FALSE,6.59722453973951,"black","46"
"Acadvl",846,901,-0.0908694426935881,0.062705194863863,0.908825178068414,0.363442413937968,0.465855128993993,0.142421636127448,FALSE,9.76994857446674,"black","46"
"Raly",579,611,-0.0776090318294944,0.0759656057279567,0.908738202796297,0.363488333463367,0.46586839058879,0.14242569047377,FALSE,9.21622405390398,"black","46"
"Guf1",160,196,-0.292781749227846,-0.139207111670395,-0.908616166181852,0.363552770118647,0.46590537992698,0.142436998886485,FALSE,7.46831896950129,"black","46"
"Hnrnpl",1275,1369,-0.10262519951168,0.0509494380457713,0.908424600020324,0.363653933540138,0.465989424035386,0.142462692924569,FALSE,10.3675941315021,"black","46"
"Rnf113a2",180,182,-0.0159415438690216,0.137633093688429,0.908205287564836,0.363769771009083,0.466092253315229,0.14249412998164,FALSE,7.49982386826419,"black","46"
"Cs",2155,2462,-0.192142892507997,-0.0385682549505458,-0.908080706822094,0.363835582919896,0.466130971817546,0.14250596703592,FALSE,11.1695436002305,"black","46"
"Zfpl1",340,353,-0.0541334371334781,0.099441200423973,0.907844787224042,0.363960231888141,0.466245054955208,0.142540844632213,FALSE,8.43645765470444,"black","46"
"Pank3",299,309,-0.0474613537062698,0.106113283851181,0.907417816269276,0.364185891415077,0.466488500975337,0.142611324782532,FALSE,8.24773235105124,"black","46"
"Cir1",108,135,-0.321928094887363,-0.168353457329912,-0.907369498365924,0.364211433543512,0.466475592536512,0.142611324782532,FALSE,6.91585154960715,"black","46"
"2010012O05Rik",125,155,-0.310340120612151,-0.156765483054699,-0.907160999728392,0.364321664309127,0.466571143730915,0.142640536776978,FALSE,7.12095434496816,"black","46"
"Ppp2r3c",126,125,0.0114956388378298,0.165070276395281,0.907009769426622,0.364401631029432,0.466627922163043,0.142657895128743,FALSE,6.971532104081,"black","46"
"Cpne1",260,312,-0.263034405833794,-0.109459768276343,-0.906078592534759,0.364894255285863,0.467213058977676,0.142836783665783,FALSE,8.15388501594535,"black","46"
"D8Ertd738e",637,674,-0.0814552189255586,0.0721194186318924,0.905516399852115,0.365191875652159,0.467548421501679,0.14293931098896,FALSE,9.35587717171908,"black","46"
"AI314180",1221,1407,-0.204559128249128,-0.0509844906916773,-0.905443143543097,0.365230668124383,0.467552378275358,0.142940520657259,FALSE,10.356127049112,"black","46"
"Nop2",312,323,-0.0499881358316756,0.103586501725775,0.905259558358573,0.365327895945246,0.46763113334952,0.142964597727183,FALSE,8.31039628677809,"black","46"
"Zhx3",131,162,-0.306427001347174,-0.152852363789723,-0.904883139004342,0.365527300440045,0.46784064958589,0.143017074957087,FALSE,7.18663650221104,"black","46"
"Trim7",197,239,-0.278814988524372,-0.125240350966921,-0.904871557065523,0.365533436936849,0.467802784141989,0.143017074957087,FALSE,7.76145931371856,"black","46"
"Spast",832,886,-0.0907231704139253,0.0628514671435258,0.903352266323943,0.36633896524286,0.468787872661764,0.14330591111911,FALSE,9.74580130334806,"black","46"
"Gtf2ird2",37,50,-0.434402824145774,-0.280828186588323,-0.903344187173816,0.366343251767608,0.468747554972994,0.14330591111911,FALSE,5.42665477770184,"black","46"
